id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
3816758;HYPER CENTRE BALCON CLIM CALME RUE BOUFFARD;12094212;David;Bordeaux;Centre ville (Bordeaux);44.83993986144387;-0.5806633109553746;Entire home/apt;79;3;14;09/08/2018;0.31;1;360
3822976;Nice apartment, center of Bordeaux;19667491;Amelie;Bordeaux;Bordeaux Sud;44.83317590440989;-0.567653672250543;Entire home/apt;68;2;28;07/09/2018;0.57;1;257
3837370;Loft Bordeaux;8887579;Lisa;Le Bouscat;Le Bouscat;44.859456892952466;-0.5911130904306952;Entire home/apt;280;2;12;27/05/2018;0.29;1;349
3839714;3-pièces au coeur de Bordeaux;19781834;Clement;Bordeaux;Centre ville (Bordeaux);44.843384214873595;-0.5792642127454696;Entire home/apt;45;1;1;26/09/2015;0.03;1;0
3846631;T1 lumineux mezzanine plein centre;8132333;Marion;Bordeaux;Bordeaux Sud;44.831934550205695;-0.5683867927113179;Entire home/apt;45;2;6;13/09/2015;0.12;1;0
3847691;Nice room in typical Bordeaux house;14922628;Adeline;Bgles;Bgles;44.81193171795921;-0.5664911824465596;Private room;40;1;47;14/08/2017;0.96;1;0
3848661;120m2 hypercentre, Triangle d'Or;15315094;Xavier;Bordeaux;Centre ville (Bordeaux);44.84038531903459;-0.5769338333406182;Entire home/apt;120;3;155;05/09/2018;3.63;1;18
3862990;2-rooms renewed with comfy balcony!;19938075;Stephen;Bordeaux;Nansouty - Saint Gens;44.81633259265894;-0.5676106435215574;Entire home/apt;40;1;7;10/04/2018;0.17;1;0
3871141;Bordeaux Hypercentre Grand Théâtre;16607361;Charles;Bordeaux;Centre ville (Bordeaux);44.83962617892056;-0.5749005107808312;Entire home/apt;110;2;6;06/08/2017;0.18;1;257
3880898;studio quartier de saint genès;20062991;Françoise;Bordeaux;Nansouty - Saint Gens;44.82952761979691;-0.5802824932448443;Entire home/apt;40;3;72;26/08/2016;1.47;1;0
3885509;15min de BX centre, SHANDITA échoppe bordelaise;18745209;Laurence;Merignac;La Glacire;44.83362497453556;-0.6197776994021739;Entire home/apt;560;3;31;26/08/2018;1.22;4;122
3896496;Appartement T1  Bordeaux centre;20171204;Stephane;Bordeaux;Centre ville (Bordeaux);44.842541351613995;-0.5855726769579326;Entire home/apt;43;2;85;02/09/2018;1.72;1;1
3908906;"Un ""cottage""près de Bordeaux!!";3047849;Valérie;Artigues-Prs-Bordeaux;Artigues-Prs-Bordeaux;44.85557182332441;-0.47931704010444276;Entire home/apt;180;3;28;25/08/2018;0.58;1;308
3913837;Chambre double, SDB & piscine;20199477;Sophie & Fred;Bouliac;Bouliac;44.819406848039975;-0.4880535413708699;Private room;70;2;11;29/08/2016;0.24;1;0
3921892;Big Flat in the old city;7750764;Delphine;Bordeaux;Centre ville (Bordeaux);44.83606763987557;-0.5702569379000808;Entire home/apt;97;3;84;29/08/2018;1.70;1;287
3941183;LINDA HABITACION CERCA DE BURDEOS;8811801;Judith;Merignac;Arlac;44.826287301609646;-0.6170500092824134;Private room;50;2;4;30/06/2018;0.08;1;281
3955541;Room;17676171;Jean-Luc;Talence;Talence;44.817200040817525;-0.5891007490526176;Private room;38;3;2;05/08/2018;0.83;1;244
3960519;T3 sur les Quais de Bordeaux;14868551;Clément;Bordeaux;Bordeaux Maritime;44.859313740836036;-0.5553361787380614;Entire home/apt;80;2;10;13/08/2018;0.25;1;257
3975380;Loft 100m², 5 pers, view on the river Garonne;7107427;Ben;Lormont;Lormont;44.8756113126643;-0.5346201956548114;Entire home/apt;75;4;8;01/01/2018;0.18;5;0
3984621;Appartement sur les quais avec vue;17638742;Edith;Bordeaux;Bordeaux Sud;44.83650773442102;-0.565960751890635;Entire home/apt;60;2;23;22/06/2016;0.47;1;313
3998507;Superb apartment Place Gambetta;19838823;Guillaume;Bordeaux;Centre ville (Bordeaux);44.84248695857328;-0.5812565422184759;Entire home/apt;100;3;118;10/09/2018;2.43;2;302
4003521;T2 Centre Historique Avec Cour Privative;20758293;Ludmila;Bordeaux;Centre ville (Bordeaux);44.8371085274365;-0.5666918881779314;Entire home/apt;65;5;1;22/07/2017;0.07;1;0
4003806;Chambre avec salle d'eau privative;8489280;Carole;Bordeaux;Caudran;44.84671437205419;-0.598526677792434;Private room;45;2;54;03/03/2018;1.10;1;355
4018374;Aux portes du Médoc et de Bordeaux;20576091;Jerome;Blanquefort;Blanquefort;44.92182838829618;-0.6331328857128758;Entire home/apt;80;7;0;;;1;0
4022292;Couch near Jardin Public;3357537;Sylvain;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.8524773658025;-0.5837091996671739;Shared room;17;2;92;07/09/2018;1.88;4;64
4032063;Centre ville, typique appart Bordelais 67m2;20343854;Thibaud;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.83362224113381;-0.5939292694414231;Entire home/apt;45;1;176;16/07/2017;4.01;2;349
4037369;Room+breakfast in duplex flat with private garden;20931814;Joelle;Bordeaux;Bordeaux Maritime;44.86736208365761;-0.5480048715206608;Private room;30;2;114;14/09/2018;2.47;1;315
4043299;Chambre dans maison gare St. Jean;20965298;Jérôme;Bordeaux;Bordeaux Sud;44.82673061877608;-0.5579115070427174;Private room;25;1;245;15/08/2018;5.04;3;363
4053141;Appartement 55 m² proche gare;21018469;Celine;Bordeaux;Bordeaux Sud;44.81743044722237;-0.5502090790076243;Entire home/apt;25;7;0;;;1;0
4066801;Duplex de charme, grande terrasse;21115256;Pierre Marie;Bordeaux;Centre ville (Bordeaux);44.83941548053045;-0.5698375857103596;Entire home/apt;160;3;103;07/09/2018;2.13;1;322
4088420;MAGNIFIQUE,  PLEIN CENTRE BORDEAUX, ensoleillé;20636507;Sandrine;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.845940079697144;-0.5769143412077703;Entire home/apt;125;4;43;08/08/2018;1.03;1;3
4097548;le 76 AVENUE;21253267;Sci Pc Carnot;Bordeaux;Caudran;44.853049263005545;-0.6002469187184335;Entire home/apt;90;4;20;11/09/2018;0.49;1;314
4122808;Room with outside place to park;15188630;Typhaine;Bordeaux;Bordeaux Sud;44.81550979643122;-0.5543217651380323;Private room;22;14;22;30/09/2016;0.45;3;349
4122957;Bordeaux, 300m Gd-Théâtre et Bourse;21359954;Denis;Bordeaux;Centre ville (Bordeaux);44.841448297894665;-0.5727221081989935;Private room;45;2;76;26/07/2018;1.60;1;167
4123645;Charmant T2 au centre de Bordeaux;21391924;Elicia;Bordeaux;Bordeaux Sud;44.833641941627235;-0.5704515962759418;Entire home/apt;50;2;0;;;1;0
4123897;Très bel appartement avec terrasse;5373425;Sonia;Bordeaux;Centre ville (Bordeaux);44.844530043590744;-0.5807655984504687;Entire home/apt;80;3;27;20/07/2018;0.56;1;303
4123982;A découvrir au centre de Bordeaux;21393409;Gaëlle;Bordeaux;Bordeaux Sud;44.83318646531386;-0.5635721291675005;Private room;55;1;0;;;1;314
4126636;80 m2 apartment with every comfort;21307314;Bertrand;Bordeaux;Centre ville (Bordeaux);44.84550683822926;-0.5851478062438642;Entire home/apt;120;2;106;22/08/2018;2.18;1;354
4128793;T3 lumière et espace en hypercentre;21418402;Claude;Bordeaux;Centre ville (Bordeaux);44.842097317798114;-0.5829730299371197;Entire home/apt;110;3;13;02/04/2018;0.28;2;222
4130008;T2 grand standing en hyper-centre;21418402;Claude;Bordeaux;Centre ville (Bordeaux);44.84207150071223;-0.5798782725622101;Entire home/apt;95;3;2;25/11/2017;0.09;2;284
4132535;Architect's magnificent house;21438801;Celine;Saint-Aubin-de-Mdoc;Saint-Aubin-de-Mdoc;44.910076912957216;-0.7154053561311865;Entire home/apt;500;7;3;25/08/2018;0.12;1;288
4142865;Appartement T2 lumineux aux chartrons;20795746;Marine;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.86000935894122;-0.5745228163880955;Entire home/apt;55;2;8;12/10/2015;0.17;1;0
4154174;Chambre, sdb/wc indépendants, dans maison Art Déco;6481965;Fabienne Et Bruno;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.82933396537977;-0.5914032805718106;Private room;36;3;143;07/09/2018;2.98;2;324
4168926;Beau duplex centre historique;14075437;Saloua;Bordeaux;Bordeaux Sud;44.833087491507776;-0.5644904912166211;Entire home/apt;70;6;6;13/05/2016;0.14;1;261
4171752;Appartement de caractère ;21646840;Marie-Ève;Bordeaux;Centre ville (Bordeaux);44.841103708446745;-0.5800179247418498;Entire home/apt;65;2;4;30/09/2015;0.08;1;350
4172801;House in the city center with little garden;11623142;Bertrand;Bordeaux;Nansouty - Saint Gens;44.8262795304676;-0.5776820900361231;Entire home/apt;95;4;5;27/08/2018;0.20;1;0
4179569;Pessac, en lisière d'un parc;7335789;Annick;Pessac;3M-Bourgailh;44.80271469502902;-0.6828820856390787;Private room;34;2;7;01/06/2018;0.46;1;318
4180944;appartement domaine universitaire;21689949;Nathalie;Pessac;La Paillre-Compostelle;44.794932166182235;-0.6087263189059139;Entire home/apt;91;2;17;12/09/2018;0.41;1;307
4189062;Charmant t2bis au coeur de Bordeaux;8080417;Héloise;Bordeaux;Centre ville (Bordeaux);44.83750960600143;-0.5685590186099414;Entire home/apt;60;2;24;19/08/2018;0.66;1;248
4190104;Chambre avec vue imprenable !;21738617;Marie;Bordeaux;Bordeaux Sud;44.83249154276201;-0.5633898878015838;Private room;34;2;211;10/09/2018;4.46;1;346
4194157;Chambre d'ami Bordeaux Caudéran balcon parking;21759584;Mathieu;Bordeaux;Caudran;44.84622569995351;-0.6212305263441124;Private room;34;1;2;07/10/2016;0.06;1;289
